LSOA,dl_status
E01014495,1
E01014616,1
E01014632,1
E01014881,1
E01014883,1
E01014905,1
E01014947,1
E01014974,1
E01015017,1
E01033348,1
E01033356,1
E01033358,1
E01033359,1
E01033364,1
E01014683,0
E01014689,0
E01015004,0
E01033352,0
E01033366,0
